feature,ridge_standardised_coefficient,random_forest_gini_importance,random_forest_permutation_importance_mae,pearson_correlation_with_2024_ai_use,absolute_ridge_coefficient
fibre_pct,1.2243232841397307,0.2563684144387089,1.438458101774039,0.890877914915018,1.2243232841397307
data_analytics_pct,1.0682413198647613,0.03689402983864172,0.09268710550887019,0.7553118188603407,1.0682413198647613
any_ict_management_practice_pct,0.9071804628135386,0.19853105151836828,1.0563804056022343,0.8365801219873968,0.9071804628135386
digital_training_pct,0.8534851555949614,0.0549649484447292,0.15445836619980885,0.7769146370887211,0.8534851555949614
digital_platforms_pct,0.7958222932093965,0.061171896507425834,0.2187404203548044,0.7545215274851392,0.7958222932093965
cloud_pct,0.703037400637329,0.11799851487662705,0.6280735607843083,0.7811332699710526,0.703037400637329
crm_pct,0.631493603040075,0.07064212913914932,0.37972237497665273,0.6764317200027371,0.631493603040075
measured_digital_contribution_pct,0.49780885689929216,0.019628549803133125,0.024874584126981323,0.6540683026230477,0.49780885689929216
any_cyber_measure_pct,0.49492411546274456,0.11866104249937201,0.44480736554621214,0.6609893762775667,0.49492411546274456
internet_sufficient_pct,-0.4156703136577584,0.012600540258057924,0.04700351783379991,-0.14369622652981323,0.4156703136577584
any_ict_limit_pct,-0.4106653127145536,0.005252632739829434,0.022648236414565846,-0.186973111539658,0.4106653127145536
any_online_presence_pct,0.34726704002623704,0.009367967504198492,0.022438370308123134,0.47982376017992456,0.34726704002623704
any_skill_shortage_pct,-0.25565384600675606,0.012356273859708208,0.02145529299719595,-0.008054629584954094,0.25565384600675606
any_cyber_incident_pct,0.19836931852510706,0.014274281236385147,0.04070262941176525,0.40413687911569796,0.19836931852510706
any_online_orders_received_pct,-0.11756150153990366,0.011287727335665212,0.028796137535014425,-0.01701077416431262,0.11756150153990366
